anger:rabbia-aggressive:aggressivo-hostile:ostile,1,end
anger:rabbia-aggressive:aggressivo-provoked:provocato,1,end
anger:rabbia-critical:critico-sarcastic:sarcastico,1,end
anger:rabbia-critical:critico-skeptical:scettico,1,end
anger:rabbia-distant:distaccato-suspicious:sospettoso,1,end
anger:rabbia-distant:distaccato-withdrawn:asociale,1,end
anger:rabbia-frustrated:frustrato-infuriated:infuriato,1,end
anger:rabbia-frustrated:frustrato-irritated:irritato,1,end
anger:rabbia-hateful:detestabile-resentful:rancoroso,1,end
anger:rabbia-hateful:detestabile-violated:violato,1,end
anger:rabbia-hurt:ferito-devastated:devastato,1,end
anger:rabbia-hurt:ferito-embarassed:imbarazzato,1,end
anger:rabbia-mad:arrabbiato-enraged:imbestialito,1,end
anger:rabbia-mad:arrabbiato-furious:furioso,1,end
anger:rabbia-threatened:minacciato-insecure:insicuro,1,end
anger:rabbia-threatened:minacciato-jealous:geloso,1,end
disgust:disgusto-avoidance:sfuggevole-aversion:avversione,1,end
disgust:disgusto-avoidance:sfuggevole-hesitant:esitante,1,end
disgust:disgusto-awful:orrore-detestable:detestabile,1,end
disgust:disgusto-awful:orrore-revulsion:repulsione,1,end
disgust:disgusto-disappointed:deluso-repugnant:ripugnante,1,end
disgust:disgusto-disappointed:deluso-revolted:ribelle,1,end
disgust:disgusto-disapproval:disapprovazione-judgmental:giudicante,1,end
disgust:disgusto-disapproval:disapprovazione-loathing:disgustato,1,end
fear:paura-anxious:ansioso-overwhelmed:sopraffatto,1,end
fear:paura-anxious:ansioso-worried:preoccupato,1,end
fear:paura-humiliated:umiliato-disrespected:irrispettato,1,end
fear:paura-humiliated:umiliato-ridiculed:ridicolizzato,1,end
fear:paura-insecure:insicuro-inadequate:inadeguato,1,end
fear:paura-insecure:insicuro-inferior:inferiore,1,end
fear:paura-rejected:respinto-alienated:alienato,1,end
fear:paura-rejected:respinto-inadequate:inadeguato,1,end
fear:paura-scared:impaurito-frightened:spaventato,1,end
fear:paura-scared:impaurito-terrified:terrorizzato,1,end
fear:paura-submissive:sottomesso-insignificant:insignificante,1,end
fear:paura-submissive:sottomesso-worthless:indegno,1,end
happy:felicità-accepted:accettato-fullfilled:soddisfatto,1,end
happy:felicità-accepted:accettato-respected:rispettato,1,end
happy:felicità-interested:interessato-amused:divertito,1,end
happy:felicità-interested:interessato-inquisitive:curioso,1,end
happy:felicità-intimate:intimo-playful:giocoso,1,end
happy:felicità-intimate:intimo-sensitive:delicato,1,end
happy:felicità-joyful:gioioso-estatic:estasiato,1,end
happy:felicità-joyful:gioioso-liberated:liberato,1,end
happy:felicità-optimistic:ottimista-inspired:ispirato,1,end
happy:felicità-optimistic:ottimista-open:aperto,1,end
happy:felicità-peaceful:tranquillo-hopeful:speranzoso,1,end
happy:felicità-peaceful:tranquillo-loving:amorevole,1,end
happy:felicità-powerful:potente-courageous:coraggioso,1,end
happy:felicità-powerful:potente-provocative:provocatorio,1,end
happy:felicità-proud:orgoglioso-confident:fiducioso,1,end
happy:felicità-proud:orgoglioso-important:importante,1,end
surprise:sorpresa-amazed:stupito-astonished:stupito,1,end
surprise:sorpresa-amazed:stupito-awe:meravigliato,1,end
surprise:sorpresa-confused:confuso-disillusoned:disilluso,1,end
surprise:sorpresa-confused:confuso-perplexed:perplesso,1,end
surprise:sorpresa-excited:eccitato-eager:desideroso,1,end
surprise:sorpresa-excited:eccitato-energetic:energico,1,end
surprise:sorpresa-startled:spaventato-dismayed:scoraggiato,1,end
surprise:sorpresa-startled:spaventato-shocked:scioccato,1,end
sad:tristezza-guilty:colpevole-remorseful:pentito,1,end
sad:tristezza-guilty:colpevole-ashamed:disonorevole,1,end
sad:tristezza-abandoned:abbandonato-ignored:ignorato,1,end
sad:tristezza-abandoned:abbandonato-victimized:vittimizzato,1,end
sad:tristezza-despair:disperato-powerless:impotente,1,end
sad:tristezza-despair:disperato-vulnerable:vulnerabile,1,end
sad:tristezza-depressed:depresso-inferior:inferiore,1,end
sad:tristezza-depressed:depresso-empty:vuoto,1,end
sad:tristezza-lonely:solo-abandoned:abbandonato,1,end
sad:tristezza-lonely:solo-isolated:isolato,1,end
sad:tristezza-bored:annoiato-apathetic:apatico,1,end
sad:tristezza-bored:annoiato-indifferent:indifferente,1,end
